state,W,alpha,beta,W,Omega,F,AF
vib1,0.08,2.75,1,0.08,0.75,0.00006,0
vib2,0.18,1.07,1,0.18,0.75,0.000031,0
vib3,0.29,2.91,0.5,0.3,0.81,0.000445,0
ele1,8.6,0.556,2,8.6,0.936,0.0606,0
ele2,9.3,0.603,2,9.3,0.909,0.064,0
ele3,7.76,0.246,3,11.1,1.11,4.42,0
ele4,9.61,0.338,3,12.4,0.83,6.7,0
ele5,10.5,0.625,3,13.6,0.849,3.35,0
ele6,15.5,0.739,2,15.5,0.793,0.139,0.75
ele7,12.3,0.605,3,16.3,0.911,0.716,0.75
ele8,13,0.649,3,17,0.878,0.114,0.75
ele9,14,0.977,3,17.8,0.725,0.0511,0.75
ele10,20.1,0.599,3,22,1,0.127,0.75
ele11,16.4,0.6,3,20.4,0.944,0.168,0.5
ele12,15.7,1,3,26.2,0.643,0.0104,0.5
ele13,21.8,1,3,20.9,1.04,0.0202,0.5
ele14,22.4,1,3,24.5,0.982,0.0538,0.5
ele15,21.1,1,3,24.1,0.947,0.872,0.5
ele16,18.13,0.656,2.54,25.11,0.804,1.055,0
